Ordinance,Pool,Meter,Year,nrows,MFStart,MfEnd,MFLength,WTCStart,WTCEnd,WTCLength,Distance,DistanceFromEdge,Co_WTC,Co_MF,Co,1,2,3,4,5,ClayAvg,Clay %
NS,1,3,2018,3,NA,NA,NA,NA,NA,NA,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.04
NS,1,3,2018,3,NA,NA,NA,NA,NA,NA,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.68
NS,1,3,2018,3,NA,NA,NA,NA,NA,NA,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.32
NS,1,3,2018,3,NA,NA,NA,NA,NA,NA,3.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.96
NS,1,4,2018,3,NA,NA,NA,NA,NA,NA,4.1,4.1,NA,NA,NA,74,77,81,86,65,76.6,76.6
NS,1,4,2018,3,NA,NA,NA,NA,NA,NA,4.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.28
NS,1,4,2018,3,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.96
NS,1,4,2018,3,NA,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.64
NS,1,4,2018,3,NA,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.32
NS,1,4,2019,2,NA,NA,NA,NA,NA,NA,4.1,4.1,NA,NA,NA,74,77,81,86,65,76.6,76.6
NS,1,4,2019,2,NA,NA,NA,NA,NA,NA,4.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.28
NS,1,4,2019,2,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.96
NS,1,4,2019,2,NA,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.64
NS,1,4,2019,2,NA,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.32
NS,1,4,2020,3,NA,NA,NA,NA,NA,NA,4.1,4.1,NA,NA,NA,74,77,81,86,65,76.6,76.6
NS,1,4,2020,3,NA,NA,NA,NA,NA,NA,4.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.28
NS,1,4,2020,3,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.96
NS,1,4,2020,3,NA,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.64
NS,1,4,2020,3,NA,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.32
NS,1,4,2021,7,75,95,20,NA,NA,NA,4.1,4.1,NA,0,0,74,77,81,86,65,76.6,76.6
NS,1,4,2021,7,75,95,20,NA,NA,NA,4.3,4.3,NA,0,0,NA,NA,NA,NA,NA,NA,77.28
NS,1,4,2021,7,75,95,20,NA,NA,NA,4.5,4.5,NA,0,0,NA,NA,NA,NA,NA,NA,77.96
NS,1,4,2021,7,75,95,20,NA,NA,NA,4.7,4.7,NA,0,0,NA,NA,NA,NA,NA,NA,78.64
NS,1,4,2021,7,75,95,20,NA,NA,NA,4.9,4.9,NA,0,0,NA,NA,NA,NA,NA,NA,79.32
NS,1,5,2021,7,NA,NA,NA,NA,NA,NA,5.1,5.1,NA,NA,NA,81,83,84,81,71,80,80
NS,1,5,2021,7,NA,NA,NA,NA,NA,NA,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.72
NS,1,5,2021,7,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44
NS,1,5,2021,7,NA,NA,NA,NA,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.16
NS,1,5,2021,7,NA,NA,NA,NA,NA,NA,5.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.88
NS,1,5,2018,3,NA,NA,NA,NA,NA,NA,5.1,5.1,NA,NA,NA,81,83,84,81,71,80,80
NS,1,5,2018,3,NA,NA,NA,NA,NA,NA,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.72
NS,1,5,2018,3,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44
NS,1,5,2018,3,NA,NA,NA,NA,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.16
NS,1,5,2018,3,NA,NA,NA,NA,NA,NA,5.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.88
NS,1,5,2019,2,NA,NA,NA,NA,NA,NA,5.1,5.1,NA,NA,NA,81,83,84,81,71,80,80
NS,1,5,2019,2,NA,NA,NA,NA,NA,NA,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.72
NS,1,5,2019,2,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44
NS,1,5,2019,2,NA,NA,NA,NA,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.16
NS,1,5,2019,2,NA,NA,NA,NA,NA,NA,5.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.88
NS,1,5,2020,3,NA,NA,NA,NA,NA,NA,5.1,5.1,NA,NA,NA,81,83,84,81,71,80,80
NS,1,5,2020,3,NA,NA,NA,NA,NA,NA,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.72
NS,1,5,2020,3,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44
NS,1,5,2020,3,NA,NA,NA,NA,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.16
NS,1,5,2020,3,NA,NA,NA,NA,NA,NA,5.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.88
NS,1,6,2020,3,NA,NA,NA,NA,NA,NA,6.1,6.1,NA,NA,NA,79,86,85,83,85,83.6,83.6
NS,1,6,2020,3,NA,NA,NA,NA,NA,NA,6.3,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.68
NS,1,6,2020,3,NA,NA,NA,NA,NA,NA,6.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.76
NS,1,6,2020,3,NA,NA,NA,NA,NA,NA,6.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.84
NS,1,6,2020,3,NA,NA,NA,NA,NA,NA,6.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.92
NS,1,6,2021,7,81,95,14,NA,NA,NA,6.1,6.1,NA,0,0,79,86,85,83,85,83.6,83.6
NS,1,6,2021,7,81,95,14,NA,NA,NA,6.3,6.3,NA,0,0,NA,NA,NA,NA,NA,NA,81.68
NS,1,6,2021,7,81,95,14,NA,NA,NA,6.5,6.1,NA,0,0,NA,NA,NA,NA,NA,NA,79.76
NS,1,6,2021,7,81,95,14,NA,NA,NA,6.7,5.9,NA,0,0,NA,NA,NA,NA,NA,NA,77.84
NS,1,6,2021,7,81,95,14,NA,NA,NA,6.9,5.7,NA,0,0,NA,NA,NA,NA,NA,NA,75.92
NS,1,6,2018,3,NA,NA,NA,NA,NA,NA,6.1,6.1,NA,NA,NA,79,86,85,83,85,83.6,83.6
NS,1,6,2018,3,NA,NA,NA,NA,NA,NA,6.3,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.68
NS,1,6,2018,3,NA,NA,NA,NA,NA,NA,6.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.76
NS,1,6,2018,3,NA,NA,NA,NA,NA,NA,6.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.84
NS,1,6,2018,3,NA,NA,NA,NA,NA,NA,6.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.92
NS,1,6,2019,2,NA,NA,NA,NA,NA,NA,6.1,6.1,NA,NA,NA,79,86,85,83,85,83.6,83.6
NS,1,6,2019,2,NA,NA,NA,NA,NA,NA,6.3,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.68
NS,1,6,2019,2,NA,NA,NA,NA,NA,NA,6.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.76
NS,1,6,2019,2,NA,NA,NA,NA,NA,NA,6.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.84
NS,1,6,2019,2,NA,NA,NA,NA,NA,NA,6.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.92
NS,1,7,2019,2,NA,NA,NA,NA,NA,NA,7.1,5.5,NA,NA,NA,77,79,74,76,64,74,74
NS,1,7,2019,2,NA,NA,NA,NA,NA,NA,7.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.32
NS,1,7,2019,2,NA,NA,NA,NA,NA,NA,7.5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.64
NS,1,7,2019,2,NA,NA,NA,NA,NA,NA,7.7,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.96
NS,1,7,2019,2,NA,NA,NA,NA,NA,NA,7.9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.28
